iter	Passed	Remaining
0	141	141436
1	142	71019
2	142	47474
3	143	35690
4	143	28619
5	144	23906
6	144	20541
7	145	18020
8	145	16056
9	146	14485
10	146	13201
11	147	12134
12	147	11228
13	148	10450
14	148	9774
15	149	9184
16	149	8662
17	150	8198
18	150	7784
19	151	7410
20	151	7072
21	152	6765
22	152	6487
23	153	6235
24	153	6002
25	154	5786
26	154	5584
27	155	5396
28	155	5222
29	156	5059
30	157	4907
31	157	4765
32	158	4630
33	158	4506
34	159	4390
35	159	4279
36	160	4173
37	160	4072
38	161	3976
39	161	3884
40	162	3797
41	162	3714
42	163	3635
43	163	3559
44	164	3487
45	164	3420
46	165	3356
47	166	3292
48	166	3232
49	167	3173
50	167	3117
51	168	3063
52	168	3010
53	168	2960
54	169	2911
55	169	2864
56	170	2819
57	171	2777
58	171	2736
59	172	2696
60	172	2658
61	173	2620
62	173	2583
63	174	2547
64	174	2512
65	175	2478
66	175	2445
67	176	2413
68	176	2382
69	177	2353
70	177	2325
71	178	2296
72	178	2268
73	179	2241
74	179	2215
75	180	2189
76	180	2164
77	181	2140
78	181	2116
79	182	2093
80	182	2070
81	183	2049
82	183	2026
83	183	2006
84	184	1986
85	185	1967
86	185	1948
87	186	1929
88	186	1910
89	187	1892
90	187	1874
91	188	1856
92	188	1839
93	189	1822
94	189	1807
95	190	1791
96	190	1776
97	191	1760
98	191	1745
99	192	1731
100	192	1716
101	193	1701
102	193	1687
103	194	1673
104	194	1660
105	195	1646
106	195	1634
107	196	1621
108	196	1609
109	197	1596
110	197	1584
111	198	1572
112	198	1560
113	199	1549
114	199	1537
115	200	1526
116	200	1514
117	201	1503
118	201	1492
119	202	1482
120	202	1472
121	203	1461
122	203	1451
123	204	1441
124	204	1431
125	205	1422
126	205	1412
127	205	1402
128	206	1393
129	206	1384
130	207	1375
131	207	1366
132	208	1358
133	208	1349
134	209	1341
135	209	1333
136	210	1324
137	210	1316
138	211	1308
139	211	1300
140	212	1292
141	212	1284
142	213	1277
143	213	1270
144	214	1263
145	214	1256
146	215	1249
147	215	1242
148	216	1235
149	216	1229
150	217	1222
151	217	1216
